LCIAMethod_uuid EF3.1,LCIAMethod_name,LCIAMethod_type,LCIAMehotd_impactIndicator,LCIAMethod_impactCategory,LCIAMethod_methodology,LCIAMethod_duration,LCIAMethod_year,LCIAMethod_version
b5c611c6-def3-11e6-bf01-fe55135034f3,Acidification,MID_POINT_INDICATOR,Accumulated Exceedance (AE),ACIDIFICATION,Environmental Footprint,time independent,2017,01.04.000
6209b35f-9447-40b5-b68c-a1099e3674a0,Climate change,MID_POINT_INDICATOR,Radiative forcing as Global Warming Potential (GWP100),CLIMATE_CHANGE,Environmental Footprint,time independent,2022,01.00.000
706261af-a357-4cc0-a50a-f3033fcbd556,Climate change-Biogenic,MID_POINT_INDICATOR,Radiative forcing as Global Warming Potential (GWP100),CLIMATE_CHANGE,Environmental Footprint,time independent,2022,01.00.000
7fce5b3a-66b8-4ce1-91e8-a925aee1f186,Climate change-Fossil,MID_POINT_INDICATOR,Radiative forcing as Global Warming Potential (GWP100),CLIMATE_CHANGE,Environmental Footprint,time independent,2022,01.00.000
14af9ca7-aa1d-4832-b1d9-ab05a06dcb12,Climate change-Land use and land use change,MID_POINT_INDICATOR,Radiative forcing as Global Warming Potential (GWP100),CLIMATE_CHANGE,Environmental Footprint,time independent,2022,01.00.000
05316e7a-b254-4bea-9cf0-6bf33eb5c630,"Ecotoxicity, freshwater",MID_POINT_INDICATOR,Comparative Toxic Unit for ecosystems (CTUe) ,AQUATIC_ECO_TOXICITY,Environmental Footprint,time independent,2022,01.00.000
dacd48b5-4da5-49aa-aff4-cd5f5495c037,"Ecotoxicity, freshwater_inorganics",MID_POINT_INDICATOR,Comparative Toxic Unit for ecosystems (CTUe) ,AQUATIC_ECO_TOXICITY,Environmental Footprint,time independent,2022,01.00.000
fd530f00-9325-424a-92ef-aaac67922fd9,"Ecotoxicity, freshwater_organics",MID_POINT_INDICATOR,Comparative Toxic Unit for ecosystems (CTUe) ,AQUATIC_ECO_TOXICITY,Environmental Footprint,time independent,2022,01.00.000
b5c619fa-def3-11e6-bf01-fe55135034f3,Eutrophication marine,MID_POINT_INDICATOR,Fraction of nutrients reaching marine end compartment (N),AQUATIC_EUTROPHICATION,Environmental Footprint,time independent,2017,02.00.010
b53ec18f-7377-4ad3-86eb-cc3f4f276b2b,"Eutrophication, freshwater",MID_POINT_INDICATOR,Fraction of nutrients reaching freshwater end compartment (P),AQUATIC_EUTROPHICATION,Environmental Footprint,time independent,2017,01.00.010
b5c614d2-def3-11e6-bf01-fe55135034f3,"Eutrophication, terrestrial",MID_POINT_INDICATOR,Accumulated Exceedance (AE) ,TERRESTRIAL_EUTROPHICATION,Environmental Footprint,time independent,2107,01.02.009
2299222a-bbd8-474f-9d4f-4dd1f18aea7c,"Human toxicity, cancer",MID_POINT_INDICATOR,Comparative Toxic Unit for human (CTUh) ,CANCER_HUMAN_HEALT_EFFECTS,Environmental Footprint,time independent,2018,01.01.000
01500b74-7ffb-463e-9bd4-72f17c2263ff,"Human toxicity, cancer_inorganics",MID_POINT_INDICATOR,Comparative Toxic Unit for human (CTUh) ,CANCER_HUMAN_HEALT_EFFECTS,Environmental Footprint,time independent,2022,01.00.000
503699e0-eca9-4089-8bf8-e0f49c93e578,"Human toxicity, cancer_organics",MID_POINT_INDICATOR,Comparative Toxic Unit for human (CTUh) ,CANCER_HUMAN_HEALT_EFFECTS,Environmental Footprint,time independent,2017,01.01.000
7cfdcfcf-b222-4b26-888a-a55f9fbf7ac8,"Human toxicity, non-cancer",MID_POINT_INDICATOR,Comparative Toxic Unit for human (CTUh),NON_CANCER_HUMAN_HEALT_EFFECTS,Environmental Footprint,time independent,2022,01.00.000
9d1d43a2-e1aa-4c16-acd4-3dd8a6a2fb85,"Human toxicity, non-cancer_inorganics",MID_POINT_INDICATOR,Comparative Toxic Unit for human (CTUh),NON_CANCER_HUMAN_HEALT_EFFECTS,Environmental Footprint,time independent,2022,01.00.000
8c3141e9-1f15-43b5-bff2-182e49893a46,"Human toxicity, non-cancer_organics",MID_POINT_INDICATOR,Comparative Toxic Unit for human (CTUh),NON_CANCER_HUMAN_HEALT_EFFECTS,Environmental Footprint,time independent,2022,01.00.000
b5c632be-def3-11e6-bf01-fe55135034f3,"Ionising radiation, human health",MID_POINT_INDICATOR,Human exposure efficiency relative to U235,IONIZING_RADIATION,Environmental Footprint,time independent,2017,01.00.011
b2ad6890-c78d-11e6-9d9d-cec0c932ce01,Land use,MID_POINT_INDICATOR,Soil quality index,LAND_USE,Environmental Footprint,time independent,2017,01.00.010
b5c629d6-def3-11e6-bf01-fe55135034f3,Ozone depletion,MID_POINT_INDICATOR,Ozone Depletion Potential (ODP) ,OZONE_DEPLETION,Environmental Footprint,until 2040,2017,02.00.012
b5c602c6-def3-11e6-bf01-fe55135034f3,EF-particulate matter,MID_POINT_INDICATOR,Impact on human health,RESPIRATORY_INORGANICS,Environmental Footprint,time independent,2017,02.00.011
b5c610fe-def3-11e6-bf01-fe55135034f3,Photochemical ozone formation - human health,MID_POINT_INDICATOR,Tropospheric ozone concentration increase,PHOTOCHEMICAL_OZONE_CREATION,Environmental Footprint,time independent,2017,02.01.000
b2ad6110-c78d-11e6-9d9d-cec0c932ce01,"Resource use, fossils",MID_POINT_INDICATOR,Abiotic resource depletion fossil fuels (ADP-fossil),ABIOTIC_RESOURCE_DEPLETION,Environmental Footprint,time independent,2017,01.00.010
b2ad6494-c78d-11e6-9d9d-cec0c932ce01,"Resource use, minerals and metals",MID_POINT_INDICATOR,Abiotic resource depletion (ADP ultimate reserve),ABIOTIC_RESOURCE_DEPLETION,Environmental Footprint,time independent,2017,01.00.010
b2ad66ce-c78d-11e6-9d9d-cec0c932ce01,Water use,MID_POINT_INDICATOR,User deprivation potential (deprivation-weighted water consumption),OTHER,Environmental Footprint,time independent,2017,03.00.014